id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
610,NA,27.5,1250
611,NA,22.4,1350
612,NA,25.5,1500
613,NA,32.1,2750
614,NA,40.7,1200
615,NA,20.4,3600
616,NA,35.7,1250
617,NA,35.7,1250
618,NA,61.2,1750
619,NA,61.2,1750
620,NA,61.2,1750
621,NA,66.3,NA
622,NA,61.2,NA
623,NA,69.4,1500
624,NA,35.7,1250
625,NA,27.5,1250
626,NA,40.8,1200
627,NA,25.5,2750
628,NA,21.4,4250
629,NA,19.4,4250
630,NA,40.8,1200
631,NA,76.5,1500
632,NA,45.9,1500
633,NA,40.8,3900
634,NA,20.4,3600
635,NA,40.8,1200
636,NA,31.6,2600
637,NA,61.2,1750
638,NA,69.3,1500
639,NA,18.4,3250
640,NA,20.4,3600
641,NA,40.7,1300
642,NA,40.8,1200
643,NA,50,3400
644,NA,31.6,2600
645,NA,32.1,2750
646,NA,69.3,1500
647,NA,61.2,1750
648,NA,20.4,3600
649,NA,20.4,3600
650,NA,20.4,3600
651,NA,40.8,3900
652,NA,40.8,1300
653,NA,20.4,3600
654,NA,32.1,2750
655,NA,27.5,2400
656,NA,27.5,2400
657,NA,40.8,1300
658,NA,40.8,1300
659,NA,30.6,2500
660,NA,40.8,3900
661,NA,40.8,3900
662,NA,53,6100
663,NA,30.6,2500
664,NA,50,3400
665,NA,53,6100
666,NA,48.4,3400
667,NA,51,3500
668,NA,37.2,4900
669,NA,37.2,4900
670,NA,32.1,2750
671,NA,20.4,3600
672,NA,20.4,3600
673,NA,25.5,2750
674,NA,25.5,2750
675,NA,49.9,3400
676,NA,61.2,NA
677,NA,20.4,3500
678,NA,45.9,3600
679,NA,45.9,3600
680,NA,45.9,3600
681,NA,45.9,3600
682,NA,37.7,4900
683,NA,30.6,3500
684,NA,25,3500
685,NA,44.9,NA
686,NA,25,3500
687,NA,61.2,3950
688,NA,30.6,3500
689,NA,21.4,3500
690,NA,30.6,3500
691,NA,25,3500
692,NA,30.6,3500
693,NA,25,3500
694,NA,30.6,3500
695,NA,37.2,4900
696,NA,51,3800
697,NA,44.9,3600
698,NA,30.6,3500
699,NA,30.6,3500
700,NA,51,3800
701,NA,25,3500
702,NA,28.6,3950
703,NA,25,3500
704,NA,25,3500
705,NA,28.6,3500
706,NA,50,3900
707,NA,25,3950
708,NA,25,3950
709,NA,28.6,3950
710,NA,42.8,3900
711,NA,35.7,3250
712,NA,17.85,4500
713,NA,28.6,3950
714,NA,28.5,3950
715,NA,35.7,3250
716,NA,18.3,4300
717,NA,28.6,3950
718,NA,28.6,3950
719,NA,28.6,3950
720,NA,42.8,3900
721,NA,42.8,NA
722,NA,50,3900
723,NA,17.85,4500
724,NA,25.5,4200
725,NA,29.6,4500
726,NA,42.8,3900
727,NA,40.8,4750
728,NA,17.1,3900
729,NA,25,4700
730,NA,25,4200
731,NA,45.9,4100
732,NA,32.6,3600
733,NA,32.6,3600
734,NA,25,4200
735,NA,40.8,4500
736,NA,40.8,4500
737,NA,56.1,4100
738,NA,17.1,3900
739,NA,19.4,NA
740,NA,31.1,4000
741,NA,45.9,4100
742,NA,36.7,4750
743,NA,22.6,4300
744,NA,9.9,2000
745,NA,163.3,2000
746,NA,163.3,2000
747,NA,163.3,2000
748,NA,153,3000
749,NA,127.1,2200
750,NA,127.1,2200
751,NA,62.2,3750
752,NA,13.8,NA
753,NA,13.8,NA
754,NA,25,NA
755,NA,13.8,NA
756,NA,13.8,NA
764,NA,13.8,NA
766,NA,13.8,NA
771,NA,39.4,5300
772,NA,63.6,4100
773,NA,76.2,3800
774,NA,30.8,5100
